updateDate,code,code_name
2019-12-09,sz.000513,丽珠集团
2019-12-09,sz.000519,中兵红箭
2019-12-09,sz.000528,柳工
2019-12-09,sz.000536,华映科技
2019-12-09,sz.000537,广宇发展
2019-12-09,sz.000541,佛山照明
2019-12-09,sz.000543,皖能电力
2019-12-09,sz.000547,航天发展
2019-12-09,sz.000552,靖远煤电
2019-12-09,sz.000559,万向钱潮
2019-12-09,sz.000563,陕国投A
2019-12-09,sz.000564,供销大集
2019-12-09,sz.000581,威孚高科
2019-12-09,sz.000587,金洲慈航
2019-12-09,sz.000598,兴蓉环境
2019-12-09,sz.000600,建投能源
2019-12-09,sz.000623,吉林敖东
2019-12-09,sz.000636,风华高科
2019-12-09,sz.000681,视觉中国
2019-12-09,sz.000685,中山公用
2019-12-09,sz.000686,东北证券
2019-12-09,sz.000690,宝新能源
2019-12-09,sz.000712,锦龙股份
2019-12-09,sz.000717,韶钢松山
2019-12-09,sz.000718,苏宁环球
2019-12-09,sz.000723,美锦能源
2019-12-09,sz.000727,华东科技
2019-12-09,sz.000729,燕京啤酒
2019-12-09,sz.000732,泰禾集团
2019-12-09,sz.000738,航发控制
2019-12-09,sz.000750,国海证券
2019-12-09,sz.000758,中色股份
2019-12-09,sz.000761,本钢板材
2019-12-09,sz.000766,通化金马
2019-12-09,sz.000778,新兴铸管
2019-12-09,sz.000807,云铝股份
2019-12-09,sz.000813,德展健康
2019-12-09,sz.000826,启迪环境
2019-12-09,sz.000829,天音控股
2019-12-09,sz.000830,鲁西化工
2019-12-09,sz.000848,承德露露
2019-12-09,sz.000860,顺鑫农业
2019-12-09,sz.000869,张裕A
2019-12-09,sz.000877,天山股份
2019-12-09,sz.000878,云南铜业
2019-12-09,sz.000883,湖北能源
2019-12-09,sz.000887,中鼎股份
2019-12-09,sz.000926,福星股份
2019-12-09,sz.000930,中粮科技
2019-12-09,sz.000932,华菱钢铁
2019-12-09,sz.000937,冀中能源
2019-12-09,sz.000959,首钢股份
2019-12-09,sz.000960,锡业股份
2019-12-09,sz.000970,中科三环
2019-12-09,sz.000975,银泰黄金
2019-12-09,sz.000980,众泰汽车
2019-12-09,sz.000983,西山煤电
2019-12-09,sz.000987,越秀金控
2019-12-09,sz.000988,华工科技
2019-12-09,sz.000990,诚志股份
2019-12-09,sz.000997,新大陆
2019-12-09,sz.000998,隆平高科
2019-12-09,sz.000999,华润三九
2019-12-09,sz.002002,鸿达兴业
2019-12-09,sz.002004,华邦健康
2019-12-09,sz.002019,亿帆医药
2019-12-09,sz.002028,思源电气
2019-12-09,sz.002030,达安基因
2019-12-09,sz.002038,双鹭药业
2019-12-09,sz.002048,宁波华翔
2019-12-09,sz.002049,紫光国微
2019-12-09,sz.002051,中工国际
2019-12-09,sz.002056,横店东磁
2019-12-09,sz.002064,华峰氨纶
2019-12-09,sz.002074,国轩高科
2019-12-09,sz.002075,沙钢股份
2019-12-09,sz.002078,太阳纸业
2019-12-09,sz.002085,万丰奥威
2019-12-09,sz.002092,中泰化学
2019-12-09,sz.002093,国脉科技
2019-12-09,sz.002110,三钢闽光
2019-12-09,sz.002118,紫鑫药业
2019-12-09,sz.002127,南极电商
2019-12-09,sz.002128,露天煤业
2019-12-09,sz.002129,中环股份
2019-12-09,sz.002131,利欧股份
2019-12-09,sz.002152,广电运通
2019-12-09,sz.002155,湖南黄金
2019-12-09,sz.002157,正邦科技
2019-12-09,sz.002174,游族网络
2019-12-09,sz.002176,江特电机
2019-12-09,sz.002183,怡亚通
2019-12-09,sz.002191,劲嘉股份
2019-12-09,sz.002195,二三四五
2019-12-09,sz.002212,南洋股份
2019-12-09,sz.002217,合力泰
2019-12-09,sz.002221,东华能源
2019-12-09,sz.002223,鱼跃医疗
2019-12-09,sz.002233,塔牌集团
2019-12-09,sz.002242,九阳股份
2019-12-09,sz.002244,滨江集团
2019-12-09,sz.002249,大洋电机
2019-12-09,sz.002250,联化科技
2019-12-09,sz.002251,步步高
2019-12-09,sz.002254,泰和新材
2019-12-09,sz.002266,浙富控股
2019-12-09,sz.002268,卫士通
2019-12-09,sz.002273,水晶光电
2019-12-09,sz.002280,联络互动
2019-12-09,sz.002281,光迅科技
2019-12-09,sz.002285,世联行
2019-12-09,sz.002299,圣农发展
2019-12-09,sz.002302,西部建设
2019-12-09,sz.002317,众生药业
2019-12-09,sz.002332,仙琚制药
2019-12-09,sz.002340,格林美
2019-12-09,sz.002344,海宁皮城
2019-12-09,sz.002353,杰瑞股份
2019-12-09,sz.002358,森源电气
2019-12-09,sz.002366,台海核电
2019-12-09,sz.002368,太极股份
2019-12-09,sz.002371,北方华创
2019-12-09,sz.002372,伟星新材
2019-12-09,sz.002373,千方科技
2019-12-09,sz.002375,亚厦股份
2019-12-09,sz.002382,蓝帆医疗
2019-12-09,sz.002384,东山精密
2019-12-09,sz.002385,大北农
2019-12-09,sz.002387,维信诺
2019-12-09,sz.002390,信邦制药
2019-12-09,sz.002399,海普瑞
2019-12-09,sz.002405,四维图新
2019-12-09,sz.002407,多氟多
2019-12-09,sz.002408,齐翔腾达
2019-12-09,sz.002414,高德红外
2019-12-09,sz.002416,爱施德
2019-12-09,sz.002419,天虹股份
2019-12-09,sz.002424,贵州百灵
2019-12-09,sz.002426,胜利精密
2019-12-09,sz.002431,棕榈股份
2019-12-09,sz.002434,万里扬
2019-12-09,sz.002437,誉衡药业
2019-12-09,sz.002439,启明星辰
2019-12-09,sz.002440,闰土股份
2019-12-09,sz.002444,巨星科技
2019-12-09,sz.002463,沪电股份
2019-12-09,sz.002465,海格通信
2019-12-09,sz.002470,金正大
2019-12-09,sz.002482,广田集团
2019-12-09,sz.002489,浙江永强
2019-12-09,sz.002491,通鼎互联
2019-12-09,sz.002500,山西证券
2019-12-09,sz.002503,搜于特
2019-12-09,sz.002505,大康农业
2019-12-09,sz.002506,协鑫集成
2019-12-09,sz.002507,涪陵榨菜
2019-12-09,sz.002509,天广中茂
2019-12-09,sz.002512,达华智能
2019-12-09,sz.002517,恺英网络
2019-12-09,sz.002544,杰赛科技
2019-12-09,sz.002572,索菲亚
2019-12-09,sz.002573,清新环境
2019-12-09,sz.002583,海能达
2019-12-09,sz.002589,瑞康医药
2019-12-09,sz.002603,以岭药业
2019-12-09,sz.002607,中公教育
2019-12-09,sz.002635,安洁科技
2019-12-09,sz.002640,跨境通
2019-12-09,sz.002665,首航节能
2019-12-09,sz.002670,国盛金控
2019-12-09,sz.002672,东江环保
2019-12-09,sz.002681,奋达科技
2019-12-09,sz.002690,美亚光电
2019-12-09,sz.002699,美盛文化
2019-12-09,sz.002701,奥瑞金
2019-12-09,sz.002707,众信旅游
2019-12-09,sz.002709,天赐材料
2019-12-09,sz.002745,木林森
2019-12-09,sz.002797,第一创业
2019-12-09,sz.002807,江阴银行
2019-12-09,sz.002812,恩捷股份
2019-12-09,sz.002815,崇达技术
2019-12-09,sz.002818,富森美
2019-12-09,sz.002821,凯莱英
2019-12-09,sz.002831,裕同科技
2019-12-09,sz.002839,张家港行
2019-12-09,sz.002916,深南电路
2019-12-09,sz.002920,德赛西威
2019-12-09,sz.002926,华西证券
2019-12-09,sz.002936,郑州银行
2019-12-09,sz.002941,新疆交建
2019-12-09,sz.002946,新乳业
2019-12-09,sz.002948,青岛银行
2019-12-09,sz.300001,特锐德
2019-12-09,sz.300002,神州泰岳
2019-12-09,sz.300009,安科生物
2019-12-09,sz.300010,立思辰
2019-12-09,sz.300026,红日药业
2019-12-09,sz.300027,华谊兄弟
2019-12-09,sz.300055,万邦达
2019-12-09,sz.300058,蓝色光标
2019-12-09,sz.300088,长信科技
2019-12-09,sz.300113,顺网科技
2019-12-09,sz.300115,长盈精密
2019-12-09,sz.300133,华策影视
2019-12-09,sz.300134,大富科技
2019-12-09,sz.300159,新研股份
2019-12-09,sz.300166,东方国信
2019-12-09,sz.300168,万达信息
2019-12-09,sz.300182,捷成股份
2019-12-09,sz.300197,铁汉生态
2019-12-09,sz.300199,翰宇药业
2019-12-09,sz.300207,欣旺达
2019-12-09,sz.300244,迪安诊断
2019-12-09,sz.300253,卫宁健康
2019-12-09,sz.300257,开山股份
2019-12-09,sz.300266,兴源环境
2019-12-09,sz.300274,阳光电源
2019-12-09,sz.300287,飞利信
2019-12-09,sz.300297,蓝盾股份
2019-12-09,sz.300308,中际旭创
2019-12-09,sz.300315,掌趣科技
2019-12-09,sz.300316,晶盛机电
2019-12-09,sz.300324,旋极信息
2019-12-09,sz.300376,易事特
2019-12-09,sz.300383,光环新网
2019-12-09,sz.300418,昆仑万维
2019-12-09,sz.300450,先导智能
2019-12-09,sz.300459,金科文化
